NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,33554432,0.001255,106964462205.708679,0.009349,76.582870
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,33554432,0.001253,107083347339.034622,0.009339,76.550728
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,16777216,0.006224,21565328198.361656,0.046371,76.721954
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,16777216,0.006323,21226126814.318825,0.047112,76.554909
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,8388608,0.006175,21734953824.804405,0.046009,76.554970
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,8388608,0.006179,21722799438.032230,0.046035,76.521027
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,4194304,0.006205,21630513732.382706,0.046231,76.862114
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,4194304,0.006381,21032837510.334728,0.047545,76.602409
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,2097152,0.006216,21592510323.760418,0.046312,76.509132
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,2097152,0.006216,21590774551.077614,0.046316,76.603867
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,1048576,0.006225,21562483421.507805,0.046377,77.856384
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,1048576,0.006224,21563319265.290863,0.046375,76.548180
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,524288,0.006241,21504333734.655102,0.046502,76.508202
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,524288,0.006243,21498573613.585804,0.046515,76.547951
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,262144,0.006292,21333075498.035629,0.046876,76.646461
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,262144,0.006306,21283492568.728237,0.046985,76.531204
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,131072,0.007388,18166499488.430817,0.055046,76.691910
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,131072,0.007328,18315500651.423214,0.054599,76.562645
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,65536,0.008485,15818911743.680948,0.063215,76.913116
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,65536,0.007933,16918736784.144188,0.059106,76.650429
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,32768,0.009338,14373910585.952904,0.069570,76.516678
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,32768,0.008843,15178096513.162981,0.065884,77.823761
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,16384,0.009475,14166157514.229622,0.070591,76.496536
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,16384,0.009701,13836108143.721130,0.072275,76.618507
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,8192,0.010256,13086644202.006197,0.076414,76.572952
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,8192,0.010265,13075265349.782412,0.076480,76.573036
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,4096,0.010450,12844083275.327795,0.077857,76.648636
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,4096,0.010447,12847285312.620543,0.077837,76.550613
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,2048,0.010545,12728683402.973759,0.078563,76.808128
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,2048,0.010544,12728925163.123625,0.078561,76.908737
NVIDIA A100-SXM4-40GB,LCA,2,33554432,0,67108864,1024,0.010587,12677525991.268259,0.078880,76.654793
